Establishment Category,Establishment Details,Establishment Status,Report Date,State,State Status
Outdoor and recreation,Gyms,Reopening soon,"April 30, 2020",ND,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, tattoo parlors, massage therapy, etc.",Reopening soon,"April 30, 2020",ND,Order Lifting or Reopening in the Next Week
Entertainment,Movie theaters,Reopening soon,"April 30, 2020",ND,Order Lifting or Reopening in the Next Week
Outdoor and recreation,State parks,Reopened,"April 30, 2020",TX,Order Lifting or Reopening in the Next Week
Retail and beauty,"Retail stores, malls",Reopening soon,"April 30, 2020",TX,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopening soon,"April 30, 2020",TX,Order Lifting or Reopening in the Next Week
Entertainment,"Movie theaters, museums, libraries",Reopening soon,"April 30, 2020",TX,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Outdoor sports,Reopening soon,"April 30, 2020",TX,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopened,"April 30, 2020",UT,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, personal care businesses etc.",Reopened,"April 30, 2020",UT,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopened,"April 30, 2020",UT,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopening soon,"April 30, 2020",UT,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, personal care businesses etc.",Reopening soon,"April 30, 2020",UT,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopening soon,"April 30, 2020",UT,Order Lifting or Reopening in the Next Week
Food and drink,Restaurants open for outdoor dining,Reopened,"April 30, 2020",WV,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbers, pet groomers",Reopened,"April 30, 2020",WV,Order Lifting or Reopening in the Next Week
Food and drink,Restaurants open for outdoor dining,Reopening soon,"April 30, 2020",WV,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbers, pet groomers",Reopening soon,"April 30, 2020",WV,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopened,"April 30, 2020",WY,Order Lifting or Reopening in the Next Week
Retail and beauty,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Reopened,"April 30, 2020",WY,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopening soon,"April 30, 2020",WY,Order Lifting or Reopening in the Next Week
Retail and beauty,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Reopening soon,"April 30, 2020",WY,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores open to curbside pickup,Reopened,"April 30, 2020",AZ,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopening soon,"April 30, 2020",AZ,Shut down or restricted
Outdoor and recreation,State park camping,Reopened,"April 30, 2020",AR,Shut down or restricted
Outdoor and recreation,State park camping,Reopening soon,"April 30, 2020",AR,Shut down or restricted
Outdoor and recreation,"Beaches, piers, docks etc.",Reopened,"April 30, 2020",HI,Shut down or restricted
Outdoor and recreation,"State parks; limited fishing, boating and golfing",Reopened,"April 30, 2020",IL,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopened,"April 30, 2020",IL,Shut down or restricted
Outdoor and recreation,"State parks; limited fishing, boating and golfing",Reopening soon,"April 30, 2020",IL,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopening soon,"April 30, 2020",IL,Shut down or restricted
Outdoor and recreation,"Golfing, boating",Reopened,"April 30, 2020",MI,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopened,"April 30, 2020",MI,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopened,"April 30, 2020",NV,Shut down or restricted
Outdoor and recreation,"Golf, pickleball and tennis",Reopened,"April 30, 2020",NV,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopening soon,"April 30, 2020",NV,Shut down or restricted
Outdoor and recreation,"Golf, pickleball and tennis",Reopening soon,"April 30, 2020",NV,Shut down or restricted
Outdoor and recreation,"State parks, golf courses",Reopened,"April 30, 2020",NJ,Shut down or restricted
Outdoor and recreation,"State parks, golf courses",Reopening soon,"April 30, 2020",NJ,Shut down or restricted
Industries,"Manufacturing, distribution and construction businesses; Offices",Reopened,"April 30, 2020",OH,Shut down or restricted
Industries,"Manufacturing, distribution and construction businesses; Offices",Reopening soon,"April 30, 2020",OH,Shut down or restricted
Outdoor and recreation,"Golf courses, marinas, guided fishing trips and privately owned campgrounds",Reopened,"April 30, 2020",PA,Shut down or restricted
Outdoor and recreation,"Golf courses, marinas, guided fishing trips and privately owned campgrounds",Reopening soon,"April 30, 2020",PA,Shut down or restricted
Industries,Some construction,Reopened,"April 30, 2020",VT,Shut down or restricted
Industries,Some construction,Reopened,"April 30, 2020",WA,Shut down or restricted
Outdoor and recreation,"Fishing, hunting, golfing, state parks",Reopening soon,"April 30, 2020",WA,Shut down or restricted
Outdoor and recreation,"Golfing; Recreational equipment, including boats, golf carts and kayaks",Reopened,"April 30, 2020",WI,Shut down or restricted
Outdoor and recreation,State parks,Reopening soon,"April 30, 2020",WI,Shut down or restricted
Food and drink,Restaurant dining,Reopened,"April 29, 2020",AK,Reopening
Retail and beauty,"Retail stores; Hair salons, barbershops, nail salons etc.",Reopened,"April 29, 2020",AK,Reopening
Retail and beauty,Retail stores open to curbside pickup,Reopened,"April 29, 2020",CO,Reopening
Retail and beauty,Salons and personal services,Reopening soon,"April 29, 2020",CO,Reopening
Industries,Offices,Reopening soon,"April 29, 2020",CO,Reopening
Outdoor and recreation,Gyms,Reopened,"April 29, 2020",GA,Reopening
Entertainment,Bowling alleys; Theaters and private social clubs,Reopened,"April 29, 2020",GA,Reopening
Retail and beauty,"Hair salons, barbershops, etc.",Reopened,"April 29, 2020",GA,Reopening
Food and drink,Restaurant dining,Reopened,"April 29, 2020",GA,Reopening
Industries,Industrial and manufacturing businesses; Offices,Reopened,"April 29, 2020",MN,Reopening
Retail and beauty,Retail stores,Reopened,"April 29, 2020",MS,Reopening
Houses of worship,,Reopened,"April 29, 2020",MT,Reopening
Retail and beauty,Shopping centers,Reopened,"April 29, 2020",MT,Reopening
Food and drink,"Restaurant dining, bars, breweries and distilleries",Reopening soon,"April 29, 2020",MT,Reopening
Retail and beauty,"Salons, barbers, pet groomers, etc.",Reopened,"April 29, 2020",OK,Reopening
Outdoor and recreation,State parks,Reopened,"April 29, 2020",OK,Reopening
Food and drink,Restaurant dining,Reopening soon,"April 29, 2020",OK,Reopening
Outdoor and recreation,"Movie theaters, gyms and sporting venues",Reopening soon,"April 29, 2020",OK,Reopening
Houses of worship,,Reopening soon,"April 29, 2020",OK,Reopening
Retail and beauty,Tattoo parlors,Reopening soon,"April 29, 2020",OK,Reopening
Outdoor and recreation,"Beaches, piers, docks, etc.",Reopened,"April 29, 2020",SC,Reopening
Retail and beauty,Retail stores,Reopened,"April 29, 2020",SC,Reopening
Outdoor and recreation,State parks,Reopened,"April 29, 2020",TN,Reopening
Food and drink,Restaurant dining in most counties,Reopened,"April 29, 2020",TN,Reopening
Retail and beauty,Retail stores in most counties,Reopened,"April 29, 2020",TN,Reopening
Outdoor and recreation,Gyms in most counties,Reopening soon,"April 29, 2020",TN,Reopening
Outdoor and recreation,Beaches,Reopened,"April 29, 2020",AL,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores,Reopened,"April 29, 2020",AL,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Beaches,Reopening soon,"April 29, 2020",AL,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores,Reopening soon,"April 29, 2020",AL,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopened,"April 29, 2020",FL,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores,Reopened,"April 29, 2020",FL,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopening soon,"April 29, 2020",FL,Order Lifting or Reopening in the Next Week
Retail and beauty,Retail stores,Reopening soon,"April 29, 2020",FL,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining in certain counties,Reopened,"April 29, 2020",IA,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopened,"April 29, 2020",IA,Order Lifting or Reopening in the Next Week
Retail and beauty,Malls and other retail stores in certain counties,Reopened,"April 29, 2020",IA,Order Lifting or Reopening in the Next Week
Entertainment,Libraries in certain counties,Reopened,"April 29, 2020",IA,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining in certain counties,Reopening soon,"April 29, 2020",IA,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopening soon,"April 29, 2020",IA,Order Lifting or Reopening in the Next Week
Retail and beauty,Malls and other retail stores in certain counties,Reopening soon,"April 29, 2020",IA,Order Lifting or Reopening in the Next Week
Entertainment,Libraries in certain counties,Reopening soon,"April 29, 2020",IA,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbershops, pet groomers",Reopened,"April 29, 2020",ME,Order Lifting or Reopening in the Next Week
Outdoor and recreation,"State parks; Hunting, fishing, limited golfing",Reopened,"April 29, 2020",ME,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbershops, pet groomers",Reopening soon,"April 29, 2020",ME,Order Lifting or Reopening in the Next Week
Outdoor and recreation,"State parks; Hunting, fishing, limited golfing",Reopening soon,"April 29, 2020",ME,Order Lifting or Reopening in the Next Week
Houses of worship,,Reopened,"April 29, 2020",NE,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbershops, tattoo parlors, etc. in certain areas",Reopened,"April 29, 2020",NE,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining in certain areas,Reopened,"April 29, 2020",NE,Order Lifting or Reopening in the Next Week
Houses of worship,,Reopening soon,"April 29, 2020",NE,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, barbershops, tattoo parlors, etc. in certain areas",Reopening soon,"April 29, 2020",NE,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining in certain areas,Reopening soon,"April 29, 2020",NE,Order Lifting or Reopening in the Next Week
Food and drink,"Restaurant dining, bars",Reopened,"April 29, 2020",ND,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopened,"April 29, 2020",ND,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, tattoo parlors, massage therapy, etc.",Reopened,"April 29, 2020",ND,Order Lifting or Reopening in the Next Week
Entertainment,Movie theaters,Reopened,"April 29, 2020",ND,Order Lifting or Reopening in the Next Week
Food and drink,"Restaurant dining, bars",Reopening soon,"April 29, 2020",ND,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopening soon,"April 29, 2020",ND,Order Lifting or Reopening in the Next Week
Retail and beauty,"Salons, tattoo parlors, massage therapy, etc.",Reopening soon,"April 29, 2020",ND,Order Lifting or Reopening in the Next Week
Entertainment,Movie theaters,Reopening soon,"April 29, 2020",ND,Order Lifting or Reopening in the Next Week
Industries,"Manufacturing, distribution and construction businesses; Offices",Reopened,"April 29, 2020",OH,Order Lifting or Reopening in the Next Week
Industries,"Manufacturing, distribution and construction businesses; Offices",Reopening soon,"April 29, 2020",OH,Order Lifting or Reopening in the Next Week
Outdoor and recreation,State parks,Reopened,"April 29, 2020",TX,Order Lifting or Reopening in the Next Week
Retail and beauty,"Retail stores, malls",Reopening soon,"April 29, 2020",TX,Order Lifting or Reopening in the Next Week
Food and drink,Restaurant dining,Reopening soon,"April 29, 2020",TX,Order Lifting or Reopening in the Next Week
Entertainment,"Movie theaters, museums, libraries",Reopening soon,"April 29, 2020",TX,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Outdoor sports,Reopening soon,"April 29, 2020",TX,Order Lifting or Reopening in the Next Week
Industries,Some construction,Reopened,"April 29, 2020",WA,Order Lifting or Reopening in the Next Week
Outdoor and recreation,"Fishing, hunting, golfing, state parks",Reopening soon,"April 29, 2020",WA,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopened,"April 29, 2020",WY,Order Lifting or Reopening in the Next Week
Retail and beauty,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Reopened,"April 29, 2020",WY,Order Lifting or Reopening in the Next Week
Outdoor and recreation,Gyms,Reopening soon,"April 29, 2020",WY,Order Lifting or Reopening in the Next Week
Retail and beauty,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Reopening soon,"April 29, 2020",WY,Order Lifting or Reopening in the Next Week
Outdoor and recreation,"Beaches, piers, docks etc.",Reopened,"April 29, 2020",HI,Shut down or restricted
Outdoor and recreation,"State parks; limited fishing, boating and golfing",Reopened,"April 29, 2020",IL,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopened,"April 29, 2020",IL,Shut down or restricted
Outdoor and recreation,"State parks; limited fishing, boating and golfing",Reopening soon,"April 29, 2020",IL,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopening soon,"April 29, 2020",IL,Shut down or restricted
Outdoor and recreation,"Golfing, boating",Reopened,"April 29, 2020",MI,Shut down or restricted
Retail and beauty,Retail stores open to curbside pickup,Reopened,"April 29, 2020",MI,Shut down or restricted
Outdoor and recreation,"Golf courses, marinas, guided fishing trips and privately owned campgrounds",Reopened,"April 29, 2020",PA,Shut down or restricted
Outdoor and recreation,"Golf courses, marinas, guided fishing trips and privately owned campgrounds",Reopening soon,"April 29, 2020",PA,Shut down or restricted
Industries,Some construction,Reopened,"April 29, 2020",VT,Shut down or restricted
Outdoor and recreation,"Golfing; Recreational equipment, including boats, golf carts and kayaks",Reopened,"April 29, 2020",WI,Shut down or restricted
Outdoor and recreation,State parks,Reopening soon,"April 29, 2020",WI,Shut down or restricted
Retail,Retail stores,Open,"July 21, 2020",AK,Reopened
Food and drink,Restaurant dining; Bars,Open,"July 21, 2020",AK,Reopened
Personal care,"Hair salons, barbershops, nail salons, etc.",Open,"July 21, 2020",AK,Reopened
Houses of worship,,Open,"July 21, 2020",AK,Reopened
Entertainment,Libraries; Theaters; Bowling alleys; Museums,Open,"July 21, 2020",AK,Reopened
